# N=6, th=0.7853, th_k=0.5235
# Step || Energy || T_eff
0.000000000000000000e+00 -1.047066666666666812e+01 4.618463277436786196e-01
1.000000000000000000e+00 -5.775848712725331069e+00 1.921712047680200763e+00
2.000000000000000000e+00 -5.271555848805477673e+00 2.160133680792324373e+00
3.000000000000000000e+00 -8.020955305191044715e+00 1.157386420025044771e+00
4.000000000000000000e+00 -4.589672191896636555e+00 2.554330817884575389e+00
5.000000000000000000e+00 -4.364270483549604229e+00 2.708907692267942924e+00
6.000000000000000000e+00 -6.683239757744986242e+00 1.568830989042755863e+00
7.000000000000000000e+00 -3.505005234230281541e+00 3.465868295506219887e+00
8.000000000000000000e+00 -2.749313041486537212e+00 4.499873125205733793e+00
9.000000000000000000e+00 -3.126620797379683570e+00 3.923369267295439666e+00
1.000000000000000000e+01 -1.574833128181873709e+00 8.008777065035507903e+00
1.100000000000000000e+01 -1.022742463628816934e+00 1.240119457446611406e+01
1.200000000000000000e+01 -4.521502127113521952e-01 2.815146177959039520e+01
1.300000000000000000e+01 -3.095567614686748903e-01 4.114175433941942117e+01
1.400000000000000000e+01 1.382204323660652934e-01 1.000000000000000000e+02
1.500000000000000000e+01 1.434634302188235955e+00 1.000000000000000000e+02
1.600000000000000000e+01 6.535898489855621607e-01 1.000000000000000000e+02
1.700000000000000000e+01 8.661040087202412918e-01 1.000000000000000000e+02
1.800000000000000000e+01 2.292341056535103672e+00 1.000000000000000000e+02
1.900000000000000000e+01 8.280025634363284981e-01 1.000000000000000000e+02
2.000000000000000000e+01 7.659584283076226185e-01 1.000000000000000000e+02
2.100000000000000000e+01 1.688627624970505670e+00 1.000000000000000000e+02
2.200000000000000000e+01 1.592066621219030143e-01 1.000000000000000000e+02
2.300000000000000000e+01 -1.095150967413570028e-02 1.000000000000000000e+02
2.400000000000000000e+01 2.006356103119141809e-01 1.000000000000000000e+02
2.500000000000000000e+01 -8.269490305076592218e-01 1.536004258383762711e+01
2.600000000000000000e+01 -1.065152817419406039e+00 1.190320564241525858e+01
2.700000000000000000e+01 -1.625983347515379762e+00 7.751975714992407340e+00
2.800000000000000000e+01 -2.099757227740498333e+00 5.962742192793808016e+00
2.900000000000000000e+01 -2.316998608955429528e+00 5.384077365846668961e+00
3.000000000000000000e+01 -4.023365518775325000e+00 2.972894649734447281e+00
3.100000000000000000e+01 -3.285033233289806454e+00 3.719538184780830203e+00
3.200000000000000000e+01 -3.309906669672767254e+00 3.689237231719998622e+00
3.300000000000000000e+01 -5.032062536315677903e+00 2.287725555645258702e+00
3.400000000000000000e+01 -3.878216920534623746e+00 3.098386803161716330e+00
3.500000000000000000e+01 -4.236275569475817626e+00 2.803398759398606277e+00
3.600000000000000000e+01 -6.675984782708943577e+00 1.571354951506647613e+00
3.700000000000000000e+01 -4.278790215522287887e+00 2.771433376757530986e+00
3.800000000000000000e+01 -4.349127310936299118e+00 2.719819041456183140e+00
3.900000000000000000e+01 -5.933227918703286363e+00 1.854352915874155183e+00
4.000000000000000000e+01 -3.689168729215353881e+00 3.275730880354960295e+00
4.100000000000000000e+01 -4.291266852727165571e+00 2.762163861703053502e+00
4.200000000000000000e+01 -5.793453065654980527e+00 1.914026897635856539e+00
4.300000000000000000e+01 -5.793453065654980527e+00 1.914026897635856539e+00
4.400000000000000000e+01 -5.793453065654980527e+00 1.914026897635856539e+00
4.500000000000000000e+01 -3.714690107212785364e+00 3.250794519387218973e+00
4.600000000000000000e+01 -3.714690107212785364e+00 3.250794519387218973e+00
4.700000000000000000e+01 -2.422446960346347655e+00 5.139967062746580773e+00
4.800000000000000000e+01 -9.116042433959676838e-01 1.392520135224996025e+01
4.900000000000000000e+01 -9.116042433959676838e-01 1.392520135224996025e+01
