# N=6, th=0.7853, th_k=0.5235
# Step || Energy || T_eff
0.000000000000000000e+00 -1.109468807810389279e+01 3.162277660168379134e-02
1.000000000000000000e+00 -6.166172982444951600e+00 1.759840172127711710e+00
2.000000000000000000e+00 -5.769556744328676601e+00 1.924468266947303441e+00
3.000000000000000000e+00 -8.543078864807810646e+00 1.016001532070784252e+00
4.000000000000000000e+00 -4.823929763862437881e+00 2.407679225810358314e+00
5.000000000000000000e+00 -4.577752745655647715e+00 2.562155982014273192e+00
6.000000000000000000e+00 -6.471851154113556603e+00 1.644090268298166180e+00
7.000000000000000000e+00 -3.347487899073467332e+00 3.644274706045546708e+00
8.000000000000000000e+00 -2.823639045427570160e+00 4.374504859162157366e+00
9.000000000000000000e+00 -2.653904238057001930e+00 4.670805608834370126e+00
1.000000000000000000e+01 -1.265301763350274777e+00 1.000189670660211583e+01
1.100000000000000000e+01 -8.228227811990918017e-01 1.543750632770007059e+01
1.200000000000000000e+01 8.172223150274146031e-01 1.000000000000000000e+02
1.300000000000000000e+01 4.771962955982115284e-01 1.000000000000000000e+02
1.400000000000000000e+01 2.924057868287770479e+00 1.000000000000000000e+02
1.500000000000000000e+01 2.924057868287770479e+00 1.000000000000000000e+02
1.600000000000000000e+01 1.410206285454734587e+00 1.000000000000000000e+02
1.700000000000000000e+01 3.964460067675830146e+00 1.000000000000000000e+02
1.800000000000000000e+01 3.964460067675830146e+00 1.000000000000000000e+02
1.900000000000000000e+01 1.715688437336103878e+00 1.000000000000000000e+02
2.000000000000000000e+01 1.408157465049281853e+00 1.000000000000000000e+02
2.100000000000000000e+01 3.161140695672616907e+00 1.000000000000000000e+02
2.200000000000000000e+01 5.688995375857776038e-01 1.000000000000000000e+02
2.300000000000000000e+01 5.688995375857776038e-01 1.000000000000000000e+02
2.400000000000000000e+01 1.381742636968465332e+00 1.000000000000000000e+02
2.500000000000000000e+01 -2.494906089208471789e-01 5.105662052009296303e+01
2.600000000000000000e+01 -6.609930474613795459e-01 1.923663699384919212e+01
2.700000000000000000e+01 -6.609930474613795459e-01 1.923663699384919212e+01
2.800000000000000000e+01 -1.707500506978294696e+00 7.374234467832662787e+00
2.900000000000000000e+01 -2.168276799281104950e+00 5.767922468233812161e+00
3.000000000000000000e+01 -3.697121654206137364e+00 3.267925300143740053e+00
3.100000000000000000e+01 -3.162878615572817242e+00 3.874983209857128408e+00
3.200000000000000000e+01 -3.162878615572817242e+00 3.874983209857128408e+00
3.300000000000000000e+01 -3.383709371723127468e+00 3.601844621491576248e+00
3.400000000000000000e+01 -4.140793882919804325e+00 2.877404037697970818e+00
3.500000000000000000e+01 -6.814832917992617034e+00 1.523733446816045278e+00
3.600000000000000000e+01 -6.814832917992617034e+00 1.523733446816045278e+00
3.700000000000000000e+01 -4.637779546890171467e+00 2.523120342205988464e+00
3.800000000000000000e+01 -4.367240629311374356e+00 2.706775744929872385e+00
3.900000000000000000e+01 -6.257448392764342948e+00 1.724351858626805845e+00
4.000000000000000000e+01 -4.049051404705185320e+00 2.951565792338929572e+00
4.100000000000000000e+01 -4.049051404705185320e+00 2.951565792338929572e+00
4.200000000000000000e+01 -5.606793292255884964e+00 1.997563461827849940e+00
4.300000000000000000e+01 -3.698917998605988355e+00 3.266166637306617382e+00
4.400000000000000000e+01 -2.914719305959673878e+00 4.229347915296974847e+00
4.500000000000000000e+01 -3.324880822681482773e+00 3.671205299348166307e+00
4.600000000000000000e+01 -3.324880822681482773e+00 3.671205299348166307e+00
4.700000000000000000e+01 -3.324880822681482773e+00 3.671205299348166307e+00
4.800000000000000000e+01 -9.945401263225036592e-01 1.275577658903955580e+01
4.900000000000000000e+01 -9.945401263225036592e-01 1.275577658903955580e+01
